model,transform,condition,ed_over_d
QNN,identity,1.0,0.8984248324316566
rebuilt classical 2000x2000,pairing=3;m=-1,6.854101966249688,0.6414755369675
rebuilt classical 2000x2000,pairing=3;m=+1,6.854101966249688,0.640063068703061
rebuilt classical 2000x2000,pairing=3;m=+2,33.970562748477185,0.5823953929617689
rebuilt classical 2000x2000,pairing=3;m=+3,118.9915960451559,0.5396630169249793
rebuilt classical 2000x2000,pairing=3;m=+4,321.99689437999075,0.5114462508681911
rebuilt classical 2000x2000,pairing=3;m=+5,726.9986244815769,0.4928206856919812
rebuilt classical 2000x2000,pairing=4;m=-5,726.9986244815769,0.4974696788618106
rebuilt classical 2000x2000,pairing=4;m=-4,321.99689437999075,0.5150122837480049
rebuilt classical 2000x2000,pairing=4;m=-3,118.9915960451559,0.5424142115362895
rebuilt classical 2000x2000,pairing=4;m=-2,33.97056274847725,0.5845116788999739
rebuilt classical 2000x2000,pairing=4;m=-1,6.854101966249688,0.6411899843839256
rebuilt classical 2000x2000,pairing=4;m=+1,6.854101966249688,0.6434158921699392
rebuilt classical 2000x2000,pairing=4;m=+2,33.97056274847725,0.5869187569911919
rebuilt classical 2000x2000,pairing=4;m=+3,118.9915960451559,0.544045449293642
rebuilt classical 2000x2000,pairing=4;m=+4,321.99689437999075,0.5159742684835914
rebuilt classical 2000x2000,pairing=4;m=+5,726.9986244815769,0.49800067280263133
rebuilt classical 2000x2000,pairing=5;m=-5,726.9986244815769,0.5112535421485627
rebuilt classical 2000x2000,pairing=5;m=-4,321.99689437999075,0.5249475509458947
rebuilt classical 2000x2000,pairing=5;m=-3,118.9915960451559,0.5482303306209662
rebuilt classical 2000x2000,pairing=5;m=-2,33.970562748477164,0.5862819004748788
rebuilt classical 2000x2000,pairing=5;m=-1,6.854101966249688,0.6388886960966158
rebuilt classical 2000x2000,pairing=5;m=+1,6.854101966249688,0.6481941224658946
rebuilt classical 2000x2000,pairing=5;m=+2,33.970562748477164,0.5936682846370344
rebuilt classical 2000x2000,pairing=5;m=+3,118.9915960451559,0.5534112639450013
rebuilt classical 2000x2000,pairing=5;m=+4,321.99689437999075,0.5284538320461613
rebuilt classical 2000x2000,pairing=5;m=+5,726.9986244815769,0.5134500596756224
rebuilt classical 2000x2000,pairing=6;m=-5,726.9986244815769,0.49643035713844136
rebuilt classical 2000x2000,pairing=6;m=-4,321.99689437999075,0.5144069947849549
rebuilt classical 2000x2000,pairing=6;m=-3,118.9915960451559,0.542356046311158
rebuilt classical 2000x2000,pairing=6;m=-2,33.970562748477185,0.5855545975463852
rebuilt classical 2000x2000,pairing=6;m=-1,6.854101966249688,0.6431139311789356
rebuilt classical 2000x2000,pairing=6;m=+1,6.854101966249688,0.6412135688751699
rebuilt classical 2000x2000,pairing=6;m=+2,33.970562748477185,0.583884331226094
rebuilt classical 2000x2000,pairing=6;m=+3,118.9915960451559,0.5405566185735013
rebuilt classical 2000x2000,pairing=6;m=+4,321.99689437999075,0.5126133012138989
rebuilt classical 2000x2000,pairing=6;m=+5,726.9986244815769,0.49474327149619607
rebuilt classical 2000x2000,pairing=7;m=-5,726.9986244815769,0.508983175947804
rebuilt classical 2000x2000,pairing=7;m=-4,321.99689437999075,0.5254143362068423
rebuilt classical 2000x2000,pairing=7;m=-3,118.9915960451559,0.551290611167472
rebuilt classical 2000x2000,pairing=7;m=-2,33.970562748477185,0.5912273445280394
rebuilt classical 2000x2000,pairing=7;m=-1,6.854101966249688,0.6443041873439763
rebuilt classical 2000x2000,pairing=7;m=+1,6.854101966249688,0.6443827011433586
rebuilt classical 2000x2000,pairing=7;m=+2,33.970562748477185,0.5911101264155517
rebuilt classical 2000x2000,pairing=7;m=+3,118.9915960451559,0.550681646453706
rebuilt classical 2000x2000,pairing=7;m=+4,321.99689437999075,0.5244228677622349
rebuilt classical 2000x2000,pairing=7;m=+5,726.9986244815769,0.5079001315243532
rebuilt classical 2000x2000,pairing=8;m=-5,726.9986244815769,0.5009484930865942
rebuilt classical 2000x2000,pairing=8;m=-4,321.99689437999075,0.519085394374364
rebuilt classical 2000x2000,pairing=8;m=-3,118.9915960451559,0.5469836422001321
rebuilt classical 2000x2000,pairing=8;m=-2,33.970562748477185,0.5892162295777529
rebuilt classical 2000x2000,pairing=8;m=-1,6.854101966249688,0.6447817094378454
rebuilt classical 2000x2000,pairing=8;m=+1,6.854101966249688,0.6419679245659432
rebuilt classical 2000x2000,pairing=8;m=+2,33.970562748477185,0.5871300789414264
rebuilt classical 2000x2000,pairing=8;m=+3,118.9915960451559,0.5461754475386048
rebuilt classical 2000x2000,pairing=8;m=+4,321.99689437999075,0.5189698403584405
rebuilt classical 2000x2000,pairing=8;m=+5,726.9986244815769,0.5010453925585886
rebuilt classical 2000x2000,pairing=9;m=-5,726.9986244815769,0.5084023804981255
rebuilt classical 2000x2000,pairing=9;m=-4,321.99689437999075,0.5249762677401583
rebuilt classical 2000x2000,pairing=9;m=-3,118.9915960451559,0.5511349225945296
rebuilt classical 2000x2000,pairing=9;m=-2,33.970562748477185,0.5911764898044749
